peeping tom,2012-10-23,4,1.9413706E-4
purity ring,2012-10-23,5,2.4267133E-4
sex pistols,2012-10-23,2,9.706853E-5
sheryl crow,2012-10-23,4,1.9413706E-4
smash mouth,2012-10-23,3,1.456028E-4
snow patrol,2012-10-23,2,9.706853E-5
sonic youth,2012-10-23,2,9.706853E-5
soundgarden,2012-10-23,2,9.706853E-5
spice girls,2012-10-23,26,0.0012618909
tenacious d,2012-10-23,3,1.456028E-4
the beatles,2012-10-23,56,0.002717919
the killers,2012-10-23,31,0.0015045622
the misfits,2012-10-23,3,1.456028E-4
the prodigy,2012-10-23,1,4.8534264E-5
adam lambert,2012-10-23,9,4.368084E-4
alice cooper,2012-10-23,3,1.456028E-4
amanda brown,2012-10-23,1,4.8534264E-5
beastie boys,2012-10-23,10,4.8534267E-4
bonnie tyler,2012-10-23,1,4.8534264E-5
citizen cope,2012-10-23,4,1.9413706E-4
daddy yankee,2012-10-23,6,2.912056E-4
danny elfman,2012-10-23,2,9.706853E-5
david guetta,2012-10-23,3,1.456028E-4
depeche mode,2012-10-23,11,5.3387694E-4
dustin lynch,2012-10-23,1,4.8534264E-5
eric clapton,2012-10-23,2,9.706853E-5
foo fighters,2012-10-23,6,2.912056E-4
gin blossoms,2012-10-23,1,4.8534264E-5
gwen stefani,2012-10-23,4,1.9413706E-4
hunter hayes,2012-10-23,69,0.0033488644
indigo girls,2012-10-23,1,4.8534264E-5
james taylor,2012-10-23,3,1.456028E-4
janis joplin,2012-10-23,3,1.456028E-4
jason aldean,2012-10-23,137,0.0066491943
jason derulo,2012-10-23,7,3.3973987E-4
jeff buckley,2012-10-23,6,2.912056E-4
jeffree star,2012-10-23,2,9.706853E-5
jimi hendrix,2012-10-23,8,3.8827411E-4
joy division,2012-10-23,2,9.706853E-5
judas priest,2012-10-23,1,4.8534264E-5
justin moore,2012-10-23,19,9.22151E-4
keyshia cole,2012-10-23,31,0.0015045622
king crimson,2012-10-23,1,4.8534264E-5
led zeppelin,2012-10-23,17,8.2508253E-4
modest mouse,2012-10-23,12,5.824112E-4
parov stelar,2012-10-23,1,4.8534264E-5
phil collins,2012-10-23,7,3.3973987E-4
prince royce,2012-10-23,16,7.7654823E-4
public enemy,2012-10-23,6,2.912056E-4
randy houser,2012-10-23,4,1.9413706E-4
romeo santos,2012-10-23,8,3.8827411E-4
shania twain,2012-10-23,5,2.4267133E-4
sick puppies,2012-10-23,1,4.8534264E-5
taylor swift,2012-10-23,1930,0.09367113
the cataracs,2012-10-23,1,4.8534264E-5
the darkness,2012-10-23,33,0.0016016307
the dreaming,2012-10-23,5,2.4267133E-4
tony bennett,2012-10-23,19,9.22151E-4
trace adkins,2012-10-23,2,9.706853E-5
white zombie,2012-10-23,2,9.706853E-5
benny benassi,2012-10-23,4,1.9413706E-4
bingo players,2012-10-23,5,2.4267133E-4
black sabbath,2012-10-23,4,1.9413706E-4
blake shelton,2012-10-23,41,0.0019899048
calvin harris,2012-10-23,8,3.8827411E-4
cassadee pope,2012-10-23,9,4.368084E-4
darius rucker,2012-10-23,12,5.824112E-4
easton corbin,2012-10-23,2,9.706853E-5
elliott smith,2012-10-23,1,4.8534264E-5
fleetwood mac,2012-10-23,6,2.912056E-4
flux pavilion,2012-10-23,1,4.8534264E-5
george strait,2012-10-23,25,0.0012133566
grateful dead,2012-10-23,6,2.912056E-4
junior senior,2012-10-23,3,1.456028E-4
justin bieber,2012-10-23,281,0.0136381285
kelly rowland,2012-10-23,33,0.0016016307
kenny chesney,2012-10-23,38,0.001844302
kristen kelly,2012-10-23,1,4.8534264E-5
kylie minogue,2012-10-23,1,4.8534264E-5
little dragon,2012-10-23,2,9.706853E-5
